index;filename;duration;tracks;sustain
220;"./MOZART WOLFGANG AMADEUS/Nine variations on a minuet by Duport, K537.mid";10;2;7598
221;"./MOZART WOLFGANG AMADEUS/Sonata in B-flat Major, K.281.mid";11;2;14729
222;"./MOZART WOLFGANG AMADEUS/Nine Variations, K. 264.mid";12;2;11318
223;"./CHOPIN FREDERIC/Etudes Op. 10 Nos. 9.mid";2;2;1719
224;"./CHOPIN FREDERIC/Etude Op. 25 No. 12.mid";3;2;870
225;"./CHOPIN FREDERIC/Nocturne Op. 62 No. 1 in B Major.mid";7;2;5859
226;"./CHOPIN FREDERIC/Ballade 4 Op. 52.mid";10;2;6000
227;"./CHOPIN FREDERIC/Sonata No. 3 in B Minor, Op. 58.mid";27;2;38502
228;"./CHOPIN FREDERIC/Rondo in C Minor, Op. 1.mid";10;2;10316
229;"./CHOPIN FREDERIC/Polonaise-Fantasie.mid";13;2;12894
230;"./CHOPIN FREDERIC/Scherzo No. 1 in B Minor, Op. 20.mid";9;2;5364
231;"./CHOPIN FREDERIC/Etude In C Minor.mid";3;2;173
232;"./CHOPIN FREDERIC/Etude in F Major, Op. 10, No. 8.mid";3;2;975
233;"./CHOPIN FREDERIC/Fantasie in F Minor, Op. 49.mid";12;2;11079
234;"./CHOPIN FREDERIC/Scherzo No. 3.mid";7;2;4821
235;"./CHOPIN FREDERIC/Mazurka in C-sharp Minor, Op. 50 No. 3.mid";4;2;2615
236;"./CHOPIN FREDERIC/Etude Op. 10 No. 4.mid";2;2;1388
237;"./CHOPIN FREDERIC/Polonaise Op. 53 in A-flat Major.mid";6;2;5139
238;"./CHOPIN FREDERIC/Nocturne in E-flat Major, Op. 55 No. 2.mid";5;2;2344
239;"./CHOPIN FREDERIC/Etude Op. 25 No. 11.mid";3;2;1901
240;"./CHOPIN FREDERIC/Etude Op. 10 No. 1.mid";2;2;591
241;"./CHOPIN FREDERIC/Berceuse in D-Flat Major, Op. 57.mid";4;2;1148
242;"./CHOPIN FREDERIC/Finale to B Minor Piano Sonata.mid";6;2;2170
243;"./CHOPIN FREDERIC/Etude Op. 25 No. 1.mid";2;2;873
244;"./CHOPIN FREDERIC/Etude Op. 10 No. 3 - Tristesse.mid";4;1;350
245;"./CHOPIN FREDERIC/Prelude Op.28 No.4 in e.mid";2;1;480
246;"./CHOPIN FREDERIC/Etude Op. 25 No. 6.mid";2;2;1185
247;"./CHOPIN FREDERIC/Ballade No. 2 in F Major.mid";6;2;5254
248;"./CHOPIN FREDERIC/Etude Op. 25 No. 10.mid";4;2;2843
249;"./CHOPIN FREDERIC/Andante spianato e grande polonaise, Op. 22.mid";14;2;15702
250;"./CHOPIN FREDERIC/Ballade No. 2 in F Major, Op. 38.mid";8;2;9810
251;"./CHOPIN FREDERIC/Etude Op. 25 No. 1 in A-flat Major.mid";2;2;933
252;"./CHOPIN FREDERIC/Scherzo No. 2 in B-flat Minor, Op.31.mid";9;2;4755
253;"./CHOPIN FREDERIC/Etude Op. 25 No. 12 in C Minor.mid";2;2;745
254;"./CHOPIN FREDERIC/Ballade No. 3 in A-flat Major, Op. 47.mid";7;2;6736
255;"./CHOPIN FREDERIC/Scherzo No. 1 in B minor, Op. 20.mid";9;2;4223
256;"./CHOPIN FREDERIC/Etude in A Minor, Op. 25, No. 11.mid";4;2;1504
257;"./CHOPIN FREDERIC/Fantasy in F Minor, Op.49.mid";13;2;6196
258;"./CHOPIN FREDERIC/Polonaise-Fantasie, Op. 61.mid";13;2;5191
259;"./CHOPIN FREDERIC/Andante Spianato and Grand Polonaise Brilliante, Op. 22.mid";14;2;13969
260;"./CHOPIN FREDERIC/Polonaise-Fantasie Op. 61.mid";11;2;11632
261;"./CHOPIN FREDERIC/Polonaise Op. 26 in E-flat Minor.mid";7;2;6381
262;"./CHOPIN FREDERIC/Mazurka in G-sharp Minor, Op. 33, No. 1.mid";2;2;1161
263;"./CHOPIN FREDERIC/Prelude-in-C-Minor-Opus-28-Nr-20.mid";1;3;98
264;"./CHOPIN FREDERIC/Nocturne in C-Sharp Minor, Op. Posth..mid";4;2;1695
265;"./CHOPIN FREDERIC/12 Etudes, Op. 25.mid";5;2;2729
266;"./CHOPIN FREDERIC/Nocturne Op. 27 No. 2 in D-flat Major.mid";6;2;1681
267;"./CHOPIN FREDERIC/Scherzo No. 3 in C-sharp Minor, Op. 39.mid";7;2;5861
268;"./CHOPIN FREDERIC/Nocturne in C-sharp Minor, Op. 27 No. 1.mid";5;2;1625
269;"./CHOPIN FREDERIC/Barcarolle in F-sharp Major, Op. 60.mid";8;2;5728
270;"./CHOPIN FREDERIC/Scherzo No. 2 in B-flat Minor, Op. 31.mid";10;2;10412
271;"./CHOPIN FREDERIC/Sonata in B Minor, Op. 58.mid";24;2;20849
272;"./CHOPIN FREDERIC/Scherzo No. 4 in E Major, Op. 54.mid";11;2;6813
273;"./CHOPIN FREDERIC/Rondo in C minor, Op. 1.mid";8;2;4511
274;"./CHOPIN FREDERIC/Polonaise Op. 44.mid";11;2;9507
275;"./CHOPIN FREDERIC/Sonata No. 3.mid";27;2;29648
276;"./CHOPIN FREDERIC/Barcarolle in F#.mid";8;2;8107
277;"./CHOPIN FREDERIC/Sonata No. 3 in B Minor, Op. 58, I. Allegro maestoso.mid";8;2;4429
278;"./CHOPIN FREDERIC/Barcarolle, Op. 60.mid";9;2;5408
279;"./CHOPIN FREDERIC/Mazurka in D Major, Op. 33, No. 2.mid";2;2;1607
280;"./CHOPIN FREDERIC/Complete Etudes, Opus 25.mid";10;2;6208
281;"./CHOPIN FREDERIC/Nocturne in C Minor, Op. 48 No. 1.mid";5;2;4169
282;"./CHOPIN FREDERIC/Nocturne in F-sharp Major, Op. 15, No. 2.mid";4;2;3974
283;"./CHOPIN FREDERIC/24 Preludes, Op. 28.mid";40;2;31270
284;"./CHOPIN FREDERIC/Nocturne Op.09 n2.mid";4;4;268
